text,sentiment,confidence,domain,language
"I'm excited about starting my investment journey with M-Pesa!",positive,0.95,investment,english
"The NSE stocks have been performing terribly this month.",negative,0.87,stock_market,english
"What's the current interest rate for KCB M-Pesa loans?",neutral,0.92,loans,english
"I'm worried I won't have enough savings for retirement.",negative,0.84,retirement,english
"The new mobile money regulations are making transactions more secure.",positive,0.79,regulations,english
"My investment portfolio grew by 15% this year!",positive,0.96,investment,english
"I don't understand how to calculate my tax returns.",negative,0.71,taxation,english
"Can you explain how Treasury bonds work in Kenya?",neutral,0.94,bonds,english
"I'm frustrated with the high transaction fees on money transfers.",negative,0.88,banking,english
"Equity Bank's interest rates for savings accounts are reasonable.",positive,0.76,banking,english
"The process to open an investment account was simple and straightforward.",positive,0.85,investment,english
"I lost a significant amount in cryptocurrency last month.",negative,0.92,crypto,english
"What are the benefits of joining a SACCO in Kenya?",neutral,0.89,savings,english
"The insurance premiums are too expensive for what they cover.",negative,0.83,insurance,english
"I've managed to clear my loan ahead of schedule!",positive,0.94,loans,english
"NSSF doesn't provide adequate retirement benefits.",negative,0.79,retirement,english
"How does inflation affect my investments?",neutral,0.91,investment,english
"The M-Shwari loan disbursement was incredibly fast.",positive,0.87,loans,english
"I hate how complicated the tax filing system is in Kenya.",negative,0.89,taxation,english
"What's the minimum amount needed to invest in government securities?",neutral,0.95,bonds,english
"The new banking app has made managing my finances so much easier!",positive,0.93,banking,english
"I regret investing in that penny stock recommended by my friend.",negative,0.86,stock_market,english
"How do I calculate potential returns on NSE investments?",neutral,0.88,stock_market,english
"I'm thrilled with the dividends I received from my Safaricom shares!",positive,0.91,stock_market,english
"My loan application was rejected without a clear explanation.",negative,0.85,loans,english
"Which money market fund has the best returns in Kenya?",neutral,0.93,investment,english
"The financial literacy program has transformed how I manage money.",positive,0.89,education,english
"I'm stressed about my increasing debt levels.",negative,0.92,loans,english
"What are the current forex exchange rates for USD to KES?",neutral,0.95,forex,english
"The real estate investment trust performed better than expected.",positive,0.84,real_estate,english
"I'm disappointed with the customer service at my bank.",negative,0.78,banking,english
"How do I diversify my investment portfolio in Kenya?",neutral,0.91,investment,english
"Nimefurahi sana na faida niliyopata kutoka kwa uwekezaji wangu!",positive,0.88,investment,swahili
"Benki yangu imepandisha ada za akaunti bila ilani.",negative,0.82,banking,swahili
"Je, ni mikopo gani inayopatikana kwa wafanyabiashara wadogo?",neutral,0.90,loans,swahili
"Hisa za NSE zimeshuka thamani wiki hii.",negative,0.85,stock_market,swahili
"Nimeokoa pesa nyingi kupitia akaunti yangu ya M-Shwari.",positive,0.87,savings,swahili
"Nifanyeje ili kupata mkopo wa nyumba?",neutral,0.94,mortgage,swahili
"Bima ya afya ni gharama sana kwa familia yangu.",negative,0.81,insurance,swahili
"Napenda jinsi huduma za benki za mtandao zinavyofanya maisha kuwa rahisi.",positive,0.89,banking,swahili
"Ni shilingi ngapi inahitajika kuanza biashara ndogo?",neutral,0.92,business,swahili
"Nimejuta kuwekeza katika cryptocurrency.",negative,0.83,crypto,swahili
"My investment in Safaricom stocks has doubled in value!",positive,0.93,stock_market,english
"The high interest rates are making loan repayments unbearable.",negative,0.89,loans,english
"What's the difference between equity and debt financing?",neutral,0.94,investment,english
"The new tax policies will benefit small business owners.",positive,0.76,taxation,english
"I can't afford to pay these school fees with my current salary.",negative,0.87,personal_finance,english
"Which SACCOs offer the best dividend rates in Kenya?",neutral,0.90,savings,english
"The digital loan repayment period is conveniently flexible.",positive,0.82,loans,english
"I'm concerned about the security of mobile banking transactions.",negative,0.74,banking,english
"How do I monitor the performance of my stocks on the NSE?",neutral,0.93,stock_market,english
"The financial advice from my bank representative was incredibly helpful!",positive,0.91,advisory,english
"The investment minimum requirements are too high for average Kenyans.",negative,0.85,investment,english
"What documents are needed to open a business account?",neutral,0.96,banking,english
"I love how M-Pesa has made sending money to family so simple.",positive,0.94,mobile_money,english
"My insurance claim was denied without proper explanation.",negative,0.88,insurance,english
"How frequently should I review my investment portfolio?",neutral,0.91,investment,english
"The budgeting app has helped me save more money each month!",positive,0.87,personal_finance,english
"The bank's hidden charges are frustrating and deceptive.",negative,0.90,banking,english
"What are the benefits of long-term versus short-term investments?",neutral,0.92,investment,english
"Ninafurahia faida za chama changu cha kuweka na kukopa.",positive,0.85,savings,swahili
"Gharama za elimu ya watoto wangu zinaongezeka kila mwaka.",negative,0.79,education,swahili
"Jinsi gani ninaweza kutumia M-Pesa kufanya biashara?",neutral,0.93,mobile_money,swahili
"I received a great return on my Treasury bonds investment.",positive,0.86,bonds,english
"The inflation rate is making my savings worthless.",negative,0.89,savings,english
"What's the process for transferring shares in Kenya?",neutral,0.95,stock_market,english
"The financial planning workshop taught me valuable skills.",positive,0.84,education,english
"I'm anxious about market volatility affecting my retirement funds.",negative,0.82,retirement,english
"How do pension schemes work in Kenya?",neutral,0.91,retirement,english
"My experience with the mobile trading platform has been excellent.",positive,0.88,trading,english
"The loan interest accumulated faster than I expected.",negative,0.81,loans,english
"What investment options are available for low-income earners?",neutral,0.94,investment,english
